,step,loss
0,1,0.552871823310852
1,2,0.681405782699585
2,3,0.6667183041572571
3,4,0.5918794870376587
4,5,0.5299680829048157
5,6,0.47715523838996887
6,7,0.41684550046920776
7,8,0.34830304980278015
8,9,0.27492427825927734
9,10,0.2143627107143402
10,11,0.1848391443490982
11,12,0.13712310791015625
12,13,0.11572213470935822
13,14,0.07662792503833771
14,15,0.005595247261226177
15,16,0.008820505812764168
16,17,0.02810673788189888
17,18,0.01917671225965023
18,19,0.009686688892543316
19,20,0.013442423194646835
20,21,2.974290691781789e-05
21,22,0.003401408437639475
22,23,0.014651082456111908
23,24,0.03946222737431526
24,25,0.008657925762236118
25,26,0.007336437702178955
26,27,0.006132075563073158
27,28,0.0003164529916830361
28,29,3.813554940279573e-05
29,30,0.00206044246442616
30,31,0.0047321324236691
31,32,0.003756474470719695
32,33,0.03707047551870346
33,34,0.026529643684625626
34,35,0.047112662345170975
35,36,0.1256583333015442
36,37,0.27908727526664734
37,38,0.12188214808702469
38,39,0.12242726236581802
39,40,0.2630588114261627
40,41,0.11692395061254501
41,42,0.006545532960444689
42,43,0.036857523024082184
43,44,0.06318556517362595
44,45,0.0683932825922966
45,46,0.05754558742046356
46,47,0.05081024393439293
47,48,0.03381147235631943
48,49,0.06839897483587265
49,50,0.09055303037166595
50,51,0.07456421852111816
51,52,0.04160528630018234
52,53,0.013691779226064682
53,54,0.02438540942966938
54,55,0.0183882974088192
55,56,0.04298969730734825
56,57,0.04708496853709221
57,58,0.009145083837211132
58,59,1.6981459339149296e-05
59,60,0.0026762248016893864
60,61,0.003097840817645192
61,62,0.0025441469624638557
62,63,0.0009226571419276297
63,64,5.322285869624466e-05
64,65,0.0018133033299818635
65,66,0.011921659111976624
66,67,0.007794488221406937
67,68,0.016806479543447495
68,69,0.06964784115552902
69,70,0.03546691685914993
70,71,0.013000653125345707
71,72,0.0003986896190326661
72,73,0.002383376704528928
73,74,0.00035950078745372593
74,75,0.00635067792609334
75,76,0.012804480269551277
76,77,0.10132614523172379
77,78,0.005016637966036797
78,79,0.0005958369001746178
79,80,0.025396505370736122
80,81,0.016932837665081024
81,82,0.0024272308219224215
82,83,9.255779878003523e-05
83,84,0.009393708780407906
84,85,0.003719595493748784
85,86,0.009628517553210258
86,87,0.0008479135576635599
87,88,0.02434760145843029
88,89,0.015575753524899483
89,90,0.010286587290465832
90,91,0.03647901490330696
91,92,0.030273083597421646
92,93,0.021952705457806587
93,94,0.03191598877310753
94,95,0.00026934852940030396
95,96,0.005893190391361713
96,97,0.028491949662566185
97,98,0.00014540087431669235
98,99,0.0009975919965654612
99,100,0.002925630658864975
100,101,1.889456507342402e-05
101,102,0.015534591861069202
102,103,0.031111063435673714
103,104,0.010184381157159805
104,105,6.93688343744725e-05
105,106,0.00010401312465546653
106,107,0.024075016379356384
107,108,0.05199233815073967
108,109,0.026356419548392296
109,110,0.022164635360240936
110,111,0.03467750921845436
111,112,0.043470222502946854
112,113,0.08967871218919754
113,114,0.044627320021390915
114,115,0.04839641973376274
115,116,0.03895239531993866
116,117,0.008100992999970913
117,118,0.008955187164247036
118,119,0.006248139776289463
119,120,0.009224209934473038
120,121,0.02443818934261799
121,122,0.028595954179763794
122,123,0.033750277012586594
123,124,0.015523865818977356
124,125,0.0003726067370735109
125,126,0.005464503075927496
126,127,0.0369284488260746
127,128,0.009342190809547901
128,129,0.01586742140352726
129,130,0.016523262485861778
130,131,0.01316135935485363
131,132,0.025433558970689774
132,133,0.0007185423164628446
133,134,0.0010870099067687988
134,135,0.0026299525052309036
135,136,0.017709113657474518
136,137,0.005058905575424433
137,138,9.419526350029628e-07
138,139,0.0007221705163829029
139,140,0.0020592089276760817
140,141,0.05681539699435234
141,142,0.007628962397575378
142,143,0.00800187885761261
143,144,0.01644384302198887
144,145,0.008567694574594498
145,146,0.01237659901380539
146,147,0.016475532203912735
147,148,0.01281841192394495
148,149,0.001793729024939239
149,150,0.006756338756531477
150,151,0.0060243322513997555
151,152,0.005968465469777584
152,153,4.218346293782815e-05
153,154,0.008361724205315113
154,155,0.006690515670925379
155,156,0.0008203743491321802
156,157,0.002804551040753722
157,158,0.001717155915684998
158,159,0.016397375613451004
159,160,0.00989203155040741
160,161,0.001441001775674522
161,162,0.0018447361653670669
162,163,0.00927575770765543
163,164,0.0009053132962435484
164,165,0.0029369222465902567
165,166,2.9610428100568242e-05
166,167,0.0014387943083420396
167,168,0.0008199441945180297
168,169,0.012313948944211006
169,170,0.00023699640587437898
170,171,0.029245037585496902
